zipcode,total_living_area,neighborhood,Year
09-16,1236.0,,2009
211-31,730.0,,2009
11-2L,715.0,,2009
3.5-08,1266.0,,2009
0460A,538.0,,2009
384-6,1125.0,,2009
000G2,2245.0,,2009
W-26-1,770.0,,2009
100-5,2765.0,,2009
036-6,2443.0,,2009
225-1A,1005.0,,2009
1177-6,804.0,,2009
0027A,4826.0,,2009
1254-9,357.0,,2009
C2-408,1175.0,,2009
114-N,0.0,,2009
12H-8,1413.0,,2009
00510,28330.0,,2009
22-59,1535.0,,2009
29-11,680.0,,2009
0F413,916.0,,2009
D-415,1402.0,,2009
125-17,350.0,,2009
016-A,9115.0,,2009
0G-38,0.0,,2009
232-2B,2745.0,,2009
479-21,780.0,,2009
10-147,1266.0,,2009
SPORTS CLUB,,,2009
141-47,690.0,,2009
59-02,670.0,,2009
008-M,3569.0,,2009
1657-8,1400.0,,2009
211-2,1195.0,,2009
HOUSE,2236.0,,2009
311-8,556.0,,2009
UN 19,768.0,,2009
021-P,1200.0,,2009
053-1,3388.0,,2009
01605,1013.0,,2009
1177-9,804.0,,2009
1173-4,1480.0,,2009
131-11,328.0,,2009
0G-85,0.0,,2009
000H3,3110.0,,2009
0004E,1916.0,,2009
1173-5,1480.0,,2009
8-402,676.0,,2009
11-19,1076.0,,2009
00060,482.0,,2009
067-4,1989.0,,2009
341/342,0.0,,2009
T-201,872.0,,2009
301-1,807.0,,2009
0031A,7570.0,,2009
0032F,1631.0,,2009
106-8,901.0,,2009
18-77,1535.0,,2009
4-402,517.0,,2009
0194C,709.0,,2009
PS-188,0.0,,2009
0024F,2513.0,,2009
018-M,590.0,,2009
9-301,530.0,,2009
790-27,655.0,,2009
1945-5,620.0,,2009
0012D,3569.0,,2009
198-8,452.0,,2009
141-34,415.0,,2009
114-S,0.0,,2009
I-301,2389.0,,2009
00C-R,0.0,,2009
360-23,526.0,,2009
00698,1146.0,,2009
481-44,820.0,,2009
0A3-4,1110.0,,2009
1714-5,763.0,,2009
0043C,1004.0,,2009
00B-7,6276.0,,2009
093-3,1679.0,,2009
131-32,543.0,,2009
2001-9,390.0,,2009
12G & 12H,1195.0,,2009
00073,448.0,,2009
020-S,735.0,,2009
B-107,1632.0,,2009
74-24,595.0,,2009
D-102,1229.0,,2009
PH210,1788.0,,2009
0B-91,645.0,,2009
352-21,858.0,,2009
010-O,1656.0,,2009
66-24,573.0,,2009
023-T,675.0,,2009
00239,1346.0,,2009
58-21,675.0,,2009
0004L,1851.0,,2009
058-7,600.0,,2009
A-505,1088.0,,2009
0C-15,0.0,,2009
31-15,353.0,,2009
0005T,589.0,,2009
1165-4,1282.0,,2009
0106E,1815.0,,2009
19A-8,833.0,,2009
0G-69,0.0,,2009
375-2,694.0,,2009
047-5,3243.0,,2009
276-21,690.0,,2009
141-31,765.0,,2009
1560-3,700.0,,2009
035-1,6250.0,,2009
60-12,620.0,,2009
035-3,3812.0,,2009
251-2,845.0,,2009
210-5,778.0,,2009
0042B,745.0,,2009
033-F,1648.0,,2009
15A-8,833.0,,2009
070-5,560.0,,2009
010-U,740.0,,2009
133-4,825.0,,2009
001-D,6111.0,,2009
0F213,916.0,,2009
137-4,2614.0,,2009
096-3,3910.0,,2009
0151A,828.0,,2009
0A-18,0.0,,2009
125-40,447.0,,2009
309-11,556.0,,2009
B-68-2,625.0,,2009
790-16,655.0,,2009
131-33,366.0,,2009
06B/C,2842.0,,2009
039-6,4806.0,,2009
W-39-6,775.0,,2009
074-5,602.0,,2009
04-22,2013.0,,2009
PH 1D,2036.0,,2009
0O-28,0.0,,2009
024-A,3953.0,,2009
09C-8,1147.0,,2009
1754-6,638.0,,2009
STUDIO 1,536.0,,2009
10-10A,358.0,,2009
H-501,2290.0,,2009
118-8,344.0,,2009
21-42,1289.0,,2009
08J-8,871.0,,2009
65-20,728.0,,2009
00011,246433.0,,2009
0090A,1765.0,,2009
1625-2,362.0,,2009
0205A,354.0,,2009
01016,1710.0,,2009
17L-6,542.0,,2009
590-8,624.0,,2009
0N-87,0.0,,2009
59-12,582.0,,2009
228-3C,2592.0,,2009
80A-2,580.0,,2009
120-17,570.0,,2009
244-5B,547.0,,2009
567-1,969.0,,2009
0020A,6778.0,,2009
00E-6,1787.0,,2009
01005,7810.0,,2009
7-404,657.0,,2009
0F-23,0.0,,2009
0034A,4899.0,,2009
04C-6,742.0,,2009
0165H,952.0,,2009
006-G,3846.0,,2009
104-1,1054.0,,2009
219-1B,941.0,,2009
07-10,1729.0,,2009
72-7A,450.0,,2009
1661-7,1400.0,,2009
00W-1,2395.0,,2009
00705,21733.0,,2009
311-11,700.0,,2009
32-03,695.0,,2009
00572,1261.0,,2009
003-E,7184.0,,2009
097-A,575.0,,2009
J-302,1138.0,,2009
800-20,780.0,,2009
054-1,2152.0,,2009
0190A,0.0,,2009
852-1,1218.0,,2009
PH229,1733.0,,2009
0B1-2,746.0,,2009
66-42,833.0,,2009
J-102,1532.0,,2009
1722-4,767.0,,2009
00L01,812.0,,2009
40-11,625.0,,2009
2 PS2,578.0,,2009
0301W,1920.0,,2009
08R-6,802.0,,2009
70-22,425.0,,2009
00B-9,5848.0,,2009
009-5,2335.0,,2009
00072,651.0,,2009
00019,87998.0,,2009
PH207,2173.0,,2009
115-N,0.0,,2009
0069A,686.0,,2009
097-2,1299.0,,2009
190-4,1571.0,,2009
014-J,2396.0,,2009
00323,8038.0,,2009
104F2B,0.0,,2009
019-B,3603.0,,2009
0F202,812.0,,2009
1738-1,760.0,,2009
W-39-5,775.0,,2009
116 &,399.0,,2009
0B2-1,746.0,,2009
00030,42905.0,,2009
00914,2074.0,,2009
174-4,1057.0,,2009
D-203,2412.0,,2009
C-115,0.0,,2009
0113G,566.0,,2009
000BF,1073.0,,2009
015-A,7858.0,,2009
0006D,17559.0,,2009
1269-6,689.0,,2009
0F506,1286.0,,2009
08C-6,742.0,,2009
00835,615.0,,2009
0N-57,0.0,,2009
115-8,740.0,,2009
125-15,375.0,,2009
PS-12,0.0,,2009
14-16,604.0,,2009
313-1,618.0,,2009
00408,706.0,,2009
D-406,1109.0,,2009
PS-193,0.0,,2009
T-206,708.0,,2009
PH 3B,2971.0,,2009
11K-6,542.0,,2009
142-32,646.0,,2009
596-5,624.0,,2009
7-164,1040.0,,2009
364-10,520.0,,2009
04-25,1028.0,,2009
0PH09,2152.0,,2009
953-4,1401.0,,2009
125-38,335.0,,2009
0M422,1035.0,,2009
0102B,0.0,,2009
00403,719.0,,2009
063-8,305.0,,2009
991-3,1193.0,,2009
15-16,1931.0,,2009
125B1,945.0,,2009
00711,14486.0,,2009
PH211,2246.0,,2009
C-112,0.0,,2009
72-4A,450.0,,2009
12-17,878.0,,2009
14A02,1218.0,,2009
008-O,1656.0,,2009
0B2-2,746.0,,2009
00708,706.0,,2009
65-04,989.0,,2009
1677-6,365.0,,2009
19C-8,1147.0,,2009
W-38-3,575.0,,2009
040-1,4887.0,,2009
00039,281.0,,2009
161-3,1052.0,,2009
059-2,2948.0,,2009
00735,690.0,,2009
029-G,1215.0,,2009
14A04,1218.0,,2009
059-1,3982.0,,2009
158-3,832.0,,2009
1746-6,805.0,,2009
144-31,646.0,,2009
018-4,6335.0,,2009
026-7,2465.0,,2009
0070D,746.0,,2009
790-36,655.0,,2009
0UN 8,1418.0,,2009
F-302,1453.0,,2009
020-G,1791.0,,2009
017-K,1879.0,,2009
0098F,730.0,,2009
249-2,2590.0,,2009
66-23,602.0,,2009
0F404,1066.0,,2009
089-A,430.0,,2009
360-8,717.0,,2009
004-E,8996.0,,2009
12HF-3,1006.0,,2009
23B-8,833.0,,2009
247-31,527.0,,2009
131-26,362.0,,2009
8-101,281.0,,2009
63-15,411.0,,2009
1710-6,980.0,,2009
00054,30880.0,,2009
192A-2,935.0,,2009
I-201,2334.0,,2009
002-O,1656.0,,2009
W-26-6,770.0,,2009
077-8,590.0,,2009
064-2,2148.0,,2009
05-17,540.0,,2009
171-5,1243.0,,2009
D-621,759.0,,2009
246-6,893.0,,2009
63-20,411.0,,2009
028-H,872.0,,2009
1645-1,680.0,,2009
035-B,2908.0,,2009
00A/B,860.0,,2009
255-2,825.0,,2009
COM-2,0.0,,2009
04O-6,742.0,,2009
00120,7838.0,,2009
126-1,643.0,,2009
74-45,425.0,,2009
017-L,1877.0,,2009
00095,1603.0,,2009
035-C,2390.0,,2009
055-4,2752.0,,2009
00072,17787.0,,2009
011-R,4724.0,,2009
338-3,665.0,,2009
00206,69690.0,,2009
29-105,799.0,,2009
0012F,3635.0,,2009
153-12,725.0,,2009
36-3B,735.0,,2009
00740,0.0,,2009
00197,1856.0,,2009
24B-8,833.0,,2009
0105E,2637.0,,2009
018-F,4652.0,,2009
08D-8,871.0,,2009
013 &,0.0,,2009
422-3,451.0,,2009
W-31-1,775.0,,2009
D-305,761.0,,2009
72-9B,890.0,,2009
D-112,1074.0,,2009
140-6,488.0,,2009
0F212,1016.0,,2009
110-5,1275.0,,2009
17E-6,1179.0,,2009
800-29,740.0,,2009
05-13,510.0,,2009
0112G,580.0,,2009
016-1,12391.0,,2009
140-37,646.0,,2009
787-1,1440.0,,2009
GARAGE,0.0,,2009
UN1208,2412.0,,2009
006-M,3569.0,,2009
0G-29,0.0,,2009
019-A,2935.0,,2009
00175,1285.0,,2009
00211,29720.0,,2009
084-4,2479.0,,2009
28-08,449.0,,2009
0F606,2152.0,,2009
116-19,392.0,,2009
071-3,1055.0,,2009
01306,2035.0,,2009
04A-6,802.0,,2009
PM203,1286.0,,2009
273-3,713.0,,2009
247-22,559.0,,2009
49-B2,600.0,,2009
7-12A,431.0,,2009
384-7,1125.0,,2009
790-37,655.0,,2009
D-307,1486.0,,2009
023-A,1553.0,,2009
0R-1I,1151.0,,2009
B-44-3,625.0,,2009
067-8,652.0,,2009
0033C,5393.0,,2009
00538,1320.0,,2009
1661-5,1400.0,,2009
0B1-3,746.0,,2009
0M420,1291.0,,2009
0B-16,1542.0,,2009
01207,4484.0,,2009
00B-5,9519.0,,2009
116-4,1540.0,,2009
70-6B,440.0,,2009
001-R,4702.0,,2009
050-5,1576.0,,2009
0111G,566.0,,2009
137-37,570.0,,2009
0023A,4562.0,,2009
C2-306,1045.0,,2009
00035,53713.0,,2009
11-4A,585.0,,2009
101-3,630.0,,2009
1880-2,520.0,,2009
07H-8,1413.0,,2009
057-9,620.0,,2009
031-E,860.0,,2009
1637-5,338.0,,2009
0010E,10782.0,,2009
0G-20,0.0,,2009
0019E,2110.0,,2009
1746-1,680.0,,2009
3-A/B,1655.0,,2009
34-2B,590.0,,2009
203-4,1058.0,,2009
189-4,394.0,,2009
10-11,1565.0,,2009
B-16-2,625.0,,2009
T-202,872.0,,2009
015-5,3454.0,,2009
105-A,475.0,,2009
0C-21,865.0,,2009
1949-1,430.0,,2009
141-48,555.0,,2009
07-19,431.0,,2009
PS-187,0.0,,2009
C2-107,1094.0,,2009
"104,105",0.0,,2009
011-K,2141.0,,2009
1568-9,700.0,,2009
00187,505.0,,2009
0124H,822.0,,2009
00029,545.0,,2009
01001,16016.0,,2009
23-112,1339.0,,2009
0022E,5229.0,,2009
0128F,875.0,,2009
A-106,2140.0,,2009
00020,2835.0,,2009
790-28,740.0,,2009
312-6,1468.0,,2009
170-3,1058.0,,2009
078-1,2914.0,,2009
140-8,646.0,,2009
093-8,896.0,,2009
B-46-1,780.0,,2009
1754-9,819.0,,2009
00154,3011.0,,2009
W-42-1,575.0,,2009
360-B4,410.0,,2009
65-12A,338.0,,2009
228-1A,2587.0,,2009
21-41,1339.0,,2009
249-55,386.0,,2009
8-305,283.0,,2009
00X-4,1050.0,,2009
025-S,735.0,,2009
1255-8,968.0,,2009
H-601,2246.0,,2009
791-2,571.0,,2009
00209,1053.0,,2009
045-2,2361.0,,2009
PS-83,0.0,,2009
B-405,2026.0,,2009
0102C,0.0,,2009
00030,355.0,,2009
1177-1,752.0,,2009
232-3A,2848.0,,2009
336-7,670.0,,2009
1560-2,451.0,,2009
0003K,2274.0,,2009
1653-7,1400.0,,2009
017-N,3396.0,,2009
00610,21889.0,,2009
0003R,12793.0,,2009
B-40-4,625.0,,2009
1267-7,779.0,,2009
027-A,1557.0,,2009
613-615,1713.0,,2009
29-204,720.0,,2009
36-44,890.0,,2009
245-A,1638.0,,2009
PS-42,0.0,,2009
184-1,1880.0,,2009
0019C,6116.0,,2009
62-34,632.0,,2009
00084,3497.0,,2009
111-3,2108.0,,2009
PS-38,0.0,,2009
010-3,11201.0,,2009
C-102,1534.0,,2009
131-23,543.0,,2009
GA-27,1674.0,,2009
0005J,2114.0,,2009
106S-6,0.0,,2009
1161-3,826.0,,2009
24-05,936.0,,2009
12N-6,1205.0,,2009
09R-6,802.0,,2009
239-34,690.0,,2009
1 PS 1,750.0,,2009
007-5,4978.0,,2009
117-3,825.0,,2009
UN1205,2100.0,,2009
00125,2199.0,,2009
211-23,730.0,,2009
12-31,630.0,,2009
36-14,890.0,,2009
PS-89,0.0,,2009
F-404,1328.0,,2009
3B-27,1404.0,,2009
137-44,600.0,,2009
C2-302,1107.0,,2009
104-2,1054.0,,2009
A-504,988.0,,2009
00804,17783.0,,2009
00163,1790.0,,2009
202-A,4657.0,,2009
245-3,520.0,,2009
0008B,13012.0,,2009
1718-1,724.0,,2009
0F310,802.0,,2009
0A-64,1804.0,,2009
189-2,542.0,,2009
03A &,730.0,,2009
58-20,340.0,,2009
0C-85,0.0,,2009
11-3A,680.0,,2009
0005G,6759.0,,2009
169-5,1577.0,,2009
00283,1348.0,,2009
2-502,339.0,,2009
0F308,1200.0,,2009
245-44,690.0,,2009
07F-8,806.0,,2009
00902,708.0,,2009
PS-195,0.0,,2009
190-1,3425.0,,2009
024-8,739.0,,2009
1730-3,620.0,,2009
0N-91,0.0,,2009
001-C,11468.0,,2009
360-16,915.0,,2009
1572-1,451.0,,2009
0040G,1206.0,,2009
040-A,748.0,,2009
C1-207,1093.0,,2009
00563,770.0,,2009
05083,1074.0,,2009
790-12,730.0,,2009
309-8,556.0,,2009
02-16,619.0,,2009
247-25,567.0,,2009
0027H,2448.0,,2009
1-504,700.0,,2009
03-17,1899.0,,2009
0C-92,0.0,,2009
0F-42,0.0,,2009
053-2,2328.0,,2009
257-2,1062.0,,2009
137-A,385.0,,2009
483-92,625.0,,2009
03D-6,1205.0,,2009
145-27,445.0,,2009
70-10B,335.0,,2009
1872-5,650.0,,2009
037-8,650.0,,2009
1875-1,1948.0,,2009
PM305,945.0,,2009
PS-21,0.0,,2009
62-44,632.0,,2009
00183,2473.0,,2009
460-B,588.0,,2009
2003-8,960.0,,2009
790-8,730.0,,2009
114-3,952.0,,2009
00911,980.0,,2009
09-13,738.0,,2009
118-10,564.0,,2009
0B-1D,615.0,,2009
THREE,5213.0,,2009
0N-53,0.0,,2009
15-12,1582.0,,2009
0F410,802.0,,2009
00180,1916.0,,2009
69-15,1297.0,,2009
265-F,1546.0,,2009
15H-6,802.0,,2009
116-99,638.0,,2009
0B-63,1849.0,,2009
00172,4127.0,,2009
01210,3116.0,,2009
592-4,720.0,,2009
12-34,692.0,,2009
100-7,3042.0,,2009
B-504,1161.0,,2009
1645-4,530.0,,2009
T130C,812.0,,2009
006-8,1664.0,,2009
00052,536.0,,2009
211-41,730.0,,2009
0F605,1231.0,,2009
0A-41,0.0,,2009
PS-145,0.0,,2009
1251-4,968.0,,2009
B-16-4,625.0,,2009
364-16,526.0,,2009
65-08,746.0,,2009
W-40-4,770.0,,2009
15-17,1274.0,,2009
0B-61,1849.0,,2009
453-5,810.0,,2009
00913,1703.0,,2009
1868-5,750.0,,2009
C-495,0.0,,2009
483-67,480.0,,2009
0PH18,680.0,,2009
031-C,1230.0,,2009
121-12,820.0,,2009
027-B,2310.0,,2009
12F-8,806.0,,2009
PS-155,0.0,,2009
1999-8,795.0,,2009
W-31-3,775.0,,2009
131-25,497.0,,2009
0128H,790.0,,2009
PENTHOUSE,10703.0,,2009
0078D,726.0,,2009
0A-20,0.0,,2009
024-C,2740.0,,2009
00038,536.0,,2009
1560-7,700.0,,2009
11-10,2649.0,,2009
00427,4419.0,,2009
012-L,1877.0,,2009
0A-39,0.0,,2009
790-11,780.0,,2009
00416,18394.0,,2009
177-4,826.0,,2009
B-44-1,625.0,,2009
022-2,8004.0,,2009
097-9,1448.0,,2009
0404E,2910.0,,2009
023-U,740.0,,2009
02F-4,1024.0,,2009
046-5,1751.0,,2009
PS-181,0.0,,2009
0B105,733.0,,2009
III-1,1050.0,,2009
131-G3,0.0,,2009
006-F,7402.0,,2009
112-1,824.0,,2009
00433,1573.0,,2009
002-8,1586.0,,2009
139 &,0.0,,2009
1710-2,935.0,,2009
0090B,1570.0,,2009
0074D,726.0,,2009
095-9,605.0,,2009
W-30-6,775.0,,2009
038-4,2449.0,,2009
074-A,577.0,,2009
1665-3,480.0,,2009
PS-184,0.0,,2009
00L-9,0.0,,2009
091-3,430.0,,2009
1472-2,1178.0,,2009
05081,1072.0,,2009
00097,1603.0,,2009
249-44,560.0,,2009
024-D,2302.0,,2009
0004K,1230.0,,2009
140-22,646.0,,2009
1710-1,980.0,,2009
III-3,1380.0,,2009
PS-213,0.0,,2009
0011C,8674.0,,2009
0038E,891.0,,2009
0486B,1560.0,,2009
00637,1064.0,,2009
053-B,660.0,,2009
005-P,1700.0,,2009
19E-8,1119.0,,2009
315-3,700.0,,2009
PT 103,0.0,,2009
PS-177,0.0,,2009
185-2,1502.0,,2009
T-107,883.0,,2009
0B-22,770.0,,2009
0003A,68008.0,,2009
J-401,2152.0,,2009
"404,405,406",4511.0,,2009
2-204,1080.0,,2009
244-3C,524.0,,2009
7-157,1266.0,,2009
PS-159,0.0,,2009
242-7,581.0,,2009
8-139,1282.0,,2009
09020,2525.0,,2009
188-1,2735.0,,2009
565-1,840.0,,2009
048-3,1260.0,,2009
00822,3740.0,,2009
028-9,734.0,,2009
803-2,628.0,,2009
180-2,828.0,,2009
1683-6,335.0,,2009
00L-7,0.0,,2009
16G-8,589.0,,2009
36R-1,445.0,,2009
1669-6,430.0,,2009
W-33-1,575.0,,2009
0N-77,0.0,,2009
449-2,390.0,,2009
00609,22895.0,,2009
72-2B,760.0,,2009
00584,1253.0,,2009
36 1/8TH,234.0,,2009
0101W,3919.0,,2009
8-143,1060.0,,2009
25-14,570.0,,2009
019-F,2398.0,,2009
27-4CD,977.0,,2009
C-403,2628.0,,2009
0F-41,0.0,,2009
483-37,480.0,,2009
334-11,0.0,,2009
0O-13,0.0,,2009
239-33,690.0,,2009
019-6,2822.0,,2009
155-11,710.0,,2009
66-52,833.0,,2009
0PH-5,5780.0,,2009
023-5,832.0,,2009
118-6,503.0,,2009
364-1,760.0,,2009
00622,4761.0,,2009
15A-6,802.0,,2009
31-12,331.0,,2009
067-5,2000.0,,2009
232-3B,2984.0,,2009
178-11,655.0,,2009
B-208,1108.0,,2009
4-491,977.0,,2009
1165-6,1282.0,,2009
PS-176,0.0,,2009
02H-8,1413.0,,2009
016-S,735.0,,2009
000BC,0.0,,2009
05L-6,542.0,,2009
022-P,1120.0,,2009
33-36,0.0,,2009
128-A,729.0,,2009
16-10,582.0,,2009
039-5,4724.0,,2009
125-37,361.0,,2009
122-2,537.0,,2009
382-A,689.0,,2009
36-12A,550.0,,2009
0F307,1028.0,,2009
W-35-3,770.0,,2009
120-20,386.0,,2009
W-39-2,775.0,,2009
238-10,893.0,,2009
41-B1,760.0,,2009
C1-103,697.0,,2009
0028B,6061.0,,2009
W-34-5,775.0,,2009
312-2,649.0,,2009
249-34,560.0,,2009
00168,3938.0,,2009
0PS-7,0.0,,2009
66-31,835.0,,2009
5 PS5,638.0,,2009
01703,1839.0,,2009
09A-8,833.0,,2009
0040D,750.0,,2009
59F-3,245.0,,2009
171-12,1347.0,,2009
18-12,831.0,,2009
00452,760.0,,2009
9-101,337.0,,2009
0A1-1,470.0,,2009
5-404,347.0,,2009
00061,795.0,,2009
PS-228,0.0,,2009
384-1,925.0,,2009
0N-47,0.0,,2009
204-A,4652.0,,2009
15-69,1266.0,,2009
B-407,1042.0,,2009
00F-8,845.0,,2009
0038B,2354.0,,2009
201-1,0.0,,2009
5-303,482.0,,2009
00821,2720.0,,2009
B-001,942.0,,2009
0040F,1639.0,,2009
0F301,866.0,,2009
04-23,2200.0,,2009
00520,10743.0,,2009
0B-11,5885.0,,2009
056-1,1696.0,,2009
029-3,7029.0,,2009
238-5,1907.0,,2009
09-17,327.0,,2009
00333,3262.0,,2009
402-2,750.0,,2009
25-101,791.0,,2009
000H5,1337.0,,2009
054-8,505.0,,2009
192A-1,935.0,,2009
171-11,1347.0,,2009
008HF,1590.0,,2009
00E-5,1764.0,,2009
0018A,7929.0,,2009
114-4,1051.0,,2009
0B-31,881.0,,2009
11-94,1294.0,,2009
00027,293.0,,2009
24-123,1535.0,,2009
041-8,550.0,,2009
196-2,935.0,,2009
70-7A,435.0,,2009
B-48-5,780.0,,2009
017-F,5855.0,,2009
E-304,1233.0,,2009
989-4,1401.0,,2009
COMMUN,0.0,,2009
0014A,9480.0,,2009
D-413,1107.0,,2009
002-H,5398.0,,2009
01611,980.0,,2009
C2-208,1095.0,,2009
9-303,519.0,,2009
8-138,1282.0,,2009
1157-3,1133.0,,2009
01406,3356.0,,2009
0053A,1495.0,,2009
004-Q,330.0,,2009
364-8,350.0,,2009
336-1,520.0,,2009
186-3,1696.0,,2009
031-7,972.0,,2009
02-33,619.0,,2009
0B-45,1849.0,,2009
004-C,16041.0,,2009
5-205,510.0,,2009
D-417,1156.0,,2009
0002K,2274.0,,2009
00I-3,1380.0,,2009
0005S,2186.0,,2009
PS-17,0.0,,2009
W-41-6,775.0,,2009
0G-10,638.0,,2009
TH-10,3624.0,,2009
0NR-4,0.0,,2009
11-22C,740.0,,2009
00729,2506.0,,2009
000PH,18770.0,,2009
00079,651.0,,2009
PS-200,0.0,,2009
B-74-2,780.0,,2009
114-6,1020.0,,2009
144-21,646.0,,2009
309-6,556.0,,2009
0068E,1598.0,,2009
00U-9,0.0,,2009
138-2,782.0,,2009
00186,530.0,,2009
037 &,0.0,,2009
00904,12811.0,,2009
00543,0.0,,2009
1669-7,526.0,,2009
198-2,1324.0,,2009
36-34,890.0,,2009
041-7,310.0,,2009
1874-6,570.0,,2009
0F-13,0.0,,2009
06-35,1077.0,,2009
01305,2035.0,,2009
132-6,1699.0,,2009
17O-6,742.0,,2009
00A-1,11524.0,,2009
E-403,1264.0,,2009
08-32,1008.0,,2009
00537,1115.0,,2009
29-12A,581.0,,2009
280-32,690.0,,2009
124-4,1058.0,,2009
019-S,735.0,,2009
246-5A,688.0,,2009
00PH8,4836.0,,2009
140-31,646.0,,2009
00094,5148.0,,2009
15-35,340.0,,2009
008-F,6078.0,,2009
023-J,590.0,,2009
036-5,2388.0,,2009
1A-27,1220.0,,2009
019-5,2552.0,,2009
036-E,866.0,,2009
0165D,930.0,,2009
B-8-4,780.0,,2009
017-A,5314.0,,2009
01009,3976.0,,2009
239-E,1458.0,,2009
35-10,1118.0,,2009
B-12-4,625.0,,2009
21-5A,796.0,,2009
01407,2864.0,,2009
122-10,537.0,,2009
1-303,1011.0,,2009
C1-206,1045.0,,2009
00203,92370.0,,2009
0F312,1441.0,,2009
210-3B,2973.0,,2009
1738-4,760.0,,2009
00600,3230.0,,2009
120-18,394.0,,2009
F-502,1446.0,,2009
21-46,1289.0,,2009
06-34,1659.0,,2009
74-17,910.0,,2009
C1-205,963.0,,2009
PM101,1242.0,,2009
0G-98,0.0,,2009
00722,4868.0,,2009
10A-8,833.0,,2009
00010,295730.0,,2009
0002N,2821.0,,2009
05O-6,742.0,,2009
C1-305,963.0,,2009
96-3A,613.0,,2009
309-1,451.0,,2009
0PH21,1472.0,,2009
03H-8,1413.0,,2009
08-19,672.0,,2009
11E-6,1179.0,,2009
1267-1,779.0,,2009
B-32-1,780.0,,2009
074-1,1217.0,,2009
105 &,2866.0,,2009
017-3,8546.0,,2009
0014H,877.0,,2009
0F-19,0.0,,2009
B-38-6,780.0,,2009
0C-90,0.0,,2009
093-9,904.0,,2009
0007N,1216.0,,2009
00N22,0.0,,2009
C1-204,993.0,,2009
012-G,2485.0,,2009
22C-8,1147.0,,2009
12A &,302.0,,2009
00M-4,2540.0,,2009
121-9,820.0,,2009
00S-2,2033.0,,2009
178-4,2912.0,,2009
B-301,4370.0,,2009
427-3,763.0,,2009
0B-15,1586.0,,2009
PS-43,0.0,,2009
0061A,1858.0,,2009
A-202,3532.0,,2009
0F-12,0.0,,2009
58-16,675.0,,2009
120-7,1286.0,,2009
PS-64,0.0,,2009
0F204,1066.0,,2009
1466-3,1383.0,,2009
0N-16,0.0,,2009
09G-6,536.0,,2009
0004V,1197.0,,2009
00064,24585.0,,2009
006-B,17812.0,,2009
0G-12,0.0,,2009
043-2,6267.0,,2009
12P-6,542.0,,2009
592-3,720.0,,2009
11-2R,1040.0,,2009
218-2,1749.0,,2009
00G-1,7446.0,,2009
00L-1,0.0,,2009
27-4B,619.0,,2009
790-22,730.0,,2009
955-2,1150.0,,2009
1106 &,2719.0,,2009
002-D,13692.0,,2009
0003N,2834.0,,2009
12J-6,802.0,,2009
117-1,820.0,,2009
012-M,3160.0,,2009
594-6,624.0,,2009
596-1,606.0,,2009
483-96,460.0,,2009
0122A,815.0,,2009
068-4,1055.0,,2009
1258-4,860.0,,2009
0A-22,795.0,,2009
0001C,26463.0,,2009
141-4,2245.0,,2009
0A-30,0.0,,2009
16-15,540.0,,2009
137-36,720.0,,2009
PS-143,0.0,,2009
06-32,538.0,,2009
C1-107,1094.0,,2009
0120G,1448.0,,2009
C1-105,963.0,,2009
D-202,2684.0,,2009
000P5,0.0,,2009
026-H,1480.0,,2009
0C-84,0.0,,2009
00712,984.0,,2009
005-K,1536.0,,2009
00086,4118.0,,2009
201-B,684.0,,2009
030-D,1064.0,,2009
6-402,518.0,,2009
1673-7,522.0,,2009
7-21B,750.0,,2009
125-43,443.0,,2009
39-11,1155.0,,2009
0N-84,0.0,,2009
0A-2A,675.0,,2009
00137,3958.0,,2009
36F-3,335.0,,2009
0PH25,1626.0,,2009
018 B,1729.0,,2009
0224B,4634.0,,2009
00438,1274.0,,2009
215-1,1052.0,,2009
00406,701.0,,2009
009-9,1202.0,,2009
115-9,820.0,,2009
1758-B,560.0,,2009
1259-1,921.0,,2009
1169-1,1170.0,,2009
00032,281.0,,2009
021-G,1805.0,,2009
229-6,754.0,,2009
12HF-1,864.0,,2009
313-9,306.0,,2009
244-4A,1016.0,,2009
T-407,883.0,,2009
004-N,3189.0,,2009
145-5,615.0,,2009
590-7,624.0,,2009
36-17,890.0,,2009
23-107,1289.0,,2009
987-1,710.0,,2009
120-14,1114.0,,2009
70-43,595.0,,2009
233-3,997.0,,2009
00L04,980.0,,2009
249-33,393.0,,2009
C-210,2813.0,,2009
055-1,3796.0,,2009
B-20-4,780.0,,2009
0068C,1598.0,,2009
1722-3,761.0,,2009
27-1B,619.0,,2009
D-607,1458.0,,2009
242-8,555.0,,2009
NR-3B,0.0,,2009
029-D,752.0,,2009
1722-8,767.0,,2009
66-12,636.0,,2009
790-4,492.0,,2009
0046B,771.0,,2009
00B-4,13372.0,,2009
00401,91957.0,,2009
051-2,1581.0,,2009
08O-6,742.0,,2009
56-G1,970.0,,2009
001-2,21548.0,,2009
014-8,1435.0,,2009
033-9,485.0,,2009
C1-401,1056.0,,2009
0016E,2934.0,,2009
0006K,458.0,,2009
00545,0.0,,2009
00043,545.0,,2009
0222C,4655.0,,2009
0015C,5394.0,,2009
0012B,9388.0,,2009
594-2,624.0,,2009
031-6,781.0,,2009
6-304,335.0,,2009
818-3,1343.0,,2009
1633-8,541.0,,2009
021-N,770.0,,2009
144-6,684.0,,2009
1568-4,556.0,,2009
17A-6,802.0,,2009
