zipcode,total_living_area,neighborhood
238-6,893.0,
011-T,675.0,
00D-E,1416.0,
C2-104,763.0,
005-S,508.0,
00540,1990.0,
051-1,760.0,
153-11,740.0,
352-18,280.0,
PH217,2130.0,
0B3-4,746.0,
PS-78,0.0,
PS-70,0.0,
000B6,1326.0,
0G-75,0.0,
115-11,635.0,
00833,737.0,
62-33,444.0,
790-20,780.0,
145-25,815.0,
0022F,2774.0,
C2-204,993.0,
144-13,488.0,
0B-20,540.0,
322-2,902.0,
05C-8,1147.0,
10B-8,833.0,
155 &,580.0,
125-26,350.0,
153-14,730.0,
137-25,600.0,
0401W,1410.0,
PS-29,0.0,
W-32-5,775.0,
0025G,2253.0,
00063,364.0,
0034E,4142.0,
00813,2973.0,
265-H,1521.0,
B-8-1,780.0,
1255-1,921.0,
000#6,1439.0,
311-B2,515.0,
27-5B,492.0,
68-B3,316.0,
5-403,461.0,
104-S,0.0,
00443,1397.0,
131-44,362.0,
039-7,2673.0,
005-A,22008.0,
25-102,803.0,
01702,1936.0,
099-1,2938.0,
00U-5,0.0,
110-N,0.0,
0PH1B,2143.0,
39-12,1266.0,
06C-8,1147.0,
0C-78,0.0,
053-4,2783.0,
0NM37,974.0,
007-B,7687.0,
III-5,1050.0,
054-4,1130.0,
21J-8,871.0,
131-36,575.0,
17C-6,742.0,
239-C,1484.0,
1645-8,329.0,
0025A,5790.0,
00033,655.0,
8-206,878.0,
00022,545.0,
13-4C,624.0,
137-22,600.0,
037-E,863.0,
08-41,1000.0,
B-30-4,625.0,
0005V,1591.0,
009-1,11083.0,
1564-9,700.0,
592-1,588.0,
214-C,4600.0,
037-1,5165.0,
606-2,620.0,
00536,1326.0,
000B8,984.0,
024-P,1120.0,
377-2,717.0,
97-14,465.0,
069-2,3509.0,
00188,240.0,
30-27,528.0,
065-8,1746.0,
0307A,0.0,
158-1,824.0,
1871-9,655.0,
00642,1000.0,
00402,85461.0,
C1-308,1095.0,
B-42-6,780.0,
6 WCOR,908.0,
141-5,1194.0,
141-41,765.0,
00O-6,0.0,
STE 2,0.0,
01404,8424.0,
72-1B,785.0,
55-B1,360.0,
66-68,0.0,
F-504,1245.0,
0012H,1795.0,
0490A,1560.0,
PS-74,0.0,
01O9G,580.0,
63-5-7,2334.0,
000A6,2918.0,
W-31-5,775.0,
19K-8,1149.0,
0NM39,620.0,
65-02,663.0,
219-2,2448.0,
36-43,760.0,
24-18,1040.0,
0G-72,0.0,
027-P,1120.0,
00057,470.0,
114-18,360.0,
0A3-2,470.0,
0118C,884.0,
106-1A,640.0,
0064C,730.0,
C1-201,1117.0,
1758-9,835.0,
180-3,1410.0,
028-6,739.0,
1875-3,2041.0,
5-203,482.0,
1754-B,617.0,
C-123,0.0,
36-35,890.0,
0PS-8,0.0,
043-8,1967.0,
PS-9-9A,0.0,
09D-8,871.0,
113-3,1595.0,
1872-9,650.0,
3-304,345.0,
2003-3,522.0,
30-22,604.0,
437-31,508.0,
1-404,695.0,
11-25,330.0,
051-D,2311.0,
380-6,1125.0,
12-12,2025.0,
H-401,2270.0,
0B-4C,816.0,
0O-24,0.0,
137-47,570.0,
C-505,1778.0,
10B-6,536.0,
00085,425.0,
09B-6,536.0,
00T-4,805.0,
354-11,660.0,
247-45,567.0,
352-8,550.0,
606-3,700.0,
05B-6,536.0,
003/A,1000.0,
0110C,3249.0,
048-2,1561.0,
0017F,5196.0,
58-14,590.0,
C-106,0.0,
000P8,0.0,
17-2A,446.0,
065.9,650.0,
118-34,503.0,
105-D,1142.0,
590-12,624.0,
060-4,2278.0,
051-4,2889.0,
0007B,20026.0,
B-46-3,780.0,
1661-4,1400.0,
987-2,710.0,
00502,708.0,
028-A,757.0,
36-23,760.0,
C-122,0.0,
C-407,2138.0,
00831,840.0,
247-36,309.0,
0029D,4381.0,
336-3,900.0,
015-B,8053.0,
0B-47,1849.0,
280-44,690.0,
0227A,1548.0,
0035A,5430.0,
364-12,504.0,
00727,570.0,
203-2,1052.0,
00402,708.0,
02F-1,765.0,
0F-48,0.0,
0016A,8743.0,
99-10,605.0,
0VI-2,1380.0,
00605,34706.0,
0N-46,0.0,
0057C,730.0,
000P2,0.0,
00N34,0.0,
00C-9,2757.0,
118-19,562.0,
52-37,416.0,
177-3,828.0,
10G-8,589.0,
W-39-1,775.0,
360-18,760.0,
324-3,560.0,
015-2,8677.0,
0015B,10429.0,
1874-9,580.0,
05K-8,1147.0,
43-16,367.0,
378-5,1125.0,
14G-6,536.0,
4B-7O,857.0,
039-8,3034.0,
59-B2,360.0,
190-3,2325.0,
72-8B,790.0,
0U-7A,0.0,
013-C,1731.0,
0R-4I,1147.0,
231-4,1636.0,
63-18,305.0,
B-108,2994.0,
122-17,392.0,
00410,31681.0,
01402,7336.0,
00301,1054.0,
56-16,1130.0,
004-A,26300.0,
818-G,772.0,
203-5B,0.0,
00073,12057.0,
01102,12490.0,
47-B2,760.0,
6-303,528.0,
115-10,635.0,
002-E,8622.0,
206-1D,2663.0,
449-5,560.0,
66-54,573.0,
145-1,1724.0,
00836,583.0,
31A-1,534.0,
425-4,900.0,
022-8,800.0,
0005A,49918.0,
"8,2,3",5304.0,
10-13,738.0,
1718-3,766.0,
246-3B,675.0,
089-G,405.0,
0VI-5,1050.0,
265-C,1543.0,
592-11,720.0,
0124B,850.0,
1714-4,769.0,
65-05,746.0,
20D-8,871.0,
17-1A,446.0,
907-1,526.0,
313-8,556.0,
1161-6,936.0,
PM207,802.0,
111S-6,0.0,
0005H,5161.0,
01117,2201.0,
05R-6,802.0,
D-313,1058.0,
00046,281.0,
B-24-1,780.0,
00N-2,0.0,
211-21,730.0,
08014,969.0,
01304,4009.0,
00440,1830.0,
04 ES,2759.0,
125-25,443.0,
1B-7O,1631.0,
08016,1760.0,
00D-3,5921.0,
0222A,5358.0,
55-B2,600.0,
301-12,1119.0,
6-401,732.0,
0IX-4,1050.0,
T-308,883.0,
1637-2,670.0,
16C-8,1147.0,
D-412,1058.0,
1641-3,404.0,
PS-196,0.0,
379-3,523.0,
0002F,22667.0,
22-64,1483.0,
015-L,1877.0,
141-27,690.0,
216-5,778.0,
C1-203,693.0,
5-402,516.0,
378-A,800.0,
3.5-07,1307.0,
01706,701.0,
141-A,875.0,
PH205,2103.0,
105-S,0.0,
00322,10815.0,
02-43,619.0,
059-5,2737.0,
025-5,3927.0,
245-G,1647.0,
00605,1013.0,
01O2F,730.0,
005-8,3699.0,
06H-6,802.0,
00005,568.0,
C2-201,1117.0,
0225R,2659.0,
189-15,533.0,
0F-38,0.0,
022-7,810.0,
A-304,1620.0,
027-9,800.0,
0B-2D,672.0,
1722-1,719.0,
045-4,1275.0,
3B-72,1045.0,
027-N,770.0,
100-11,1142.0,
0003H,6578.0,
01518,1808.0,
0218A,5297.0,
PS-153,0.0,
W-22-2,775.0,
0F206,1286.0,
E-301,1439.0,
034-4,1466.0,
095-7,1844.0,
037-C,1230.0,
1258-7,796.0,
00056,390.0,
073-7,869.0,
14J-6,802.0,
09013,1442.0,
0111A,1013.0,
28012A,690.0,
1871-8,450.0,
022-B,2309.0,
55-08,866.0,
084-7,877.0,
32-12A,1398.0,
00919,1011.0,
1746-3,625.0,
153-5,690.0,
324-7,570.0,
0039F,1635.0,
18D-8,871.0,
001-E,2594.0,
1645-7,730.0,
W-25-1,775.0,
T-406,708.0,
215-4,1056.0,
082-5,3060.0,
319-16,345.0,
0I-12,1380.0,
00335,4462.0,
1718-7,766.0,
01-10,709.0,
00701,39001.0,
PARLOR,840.0,
04B-6,536.0,
51-B2,760.0,
00I-2,2479.0,
0003B,64305.0,
104-B,0.0,
F-503,1327.0,
051-G,2302.0,
011-M,3569.0,
00309,40316.0,
BA-7O,1122.0,
0017E,6618.0,
483-51,765.0,
2-203,1015.0,
225-34,730.0,
004-O,1656.0,
036-8,1590.0,
113-2,688.0,
0024G,2460.0,
201-3,0.0,
189-16,728.0,
55-09,860.0,
21-2R,356.0,
17J-8,871.0,
D-321,1199.0,
B-002,805.0,
089-1,1325.0,
020-M,580.0,
09007,957.0,
024-T,675.0,
14-11,1519.0,
1669-9,527.0,
W-19-5,575.0,
002-4,9292.0,
1263-1,954.0,
014-U,740.0,
0O-25,0.0,
0008H,2569.0,
1-402,343.0,
11-32,330.0,
00087,448.0,
0037H,2454.0,
070-1,1480.0,
23-106,1351.0,
01812,984.0,
0IV-9,1380.0,
380-B,600.0,
15-67,1040.0,
23D-8,871.0,
1682-2,1353.0,
21-44,1339.0,
280-22,690.0,
24-127,1483.0,
1173-6,1480.0,
000F6,0.0,
0B-43,1849.0,
22-2B,799.0,
HOTEL,0.0,
B-44-6,625.0,
32-11,1129.0,
0029B,6690.0,
0024B,8201.0,
004-B,31387.0,
0F-10,552.0,
3B-7O,835.0,
00014,177206.0,
09006,915.0,
245-33,690.0,
PS-160,0.0,
1-102,720.0,
144-27,646.0,
245-43,690.0,
245-32,690.0,
120-8,1106.0,
PS-18,0.0,
1681-5,429.0,
275-3,738.0,
17-3A-B,875.0,
32-15,346.0,
36-41,890.0,
100-6,3025.0,
07M-6,1182.0,
097-7,1364.0,
65-28,459.0,
00099,1793.0,
0A-26,540.0,
118-14,485.0,
108S-6,0.0,
1673-4,523.0,
25-201,791.0,
2003-2,815.0,
0N-79,0.0,
18H-8,1413.0,
352-6,274.0,
0022C,5443.0,
66-21,835.0,
0II-8,1380.0,
10-146,1266.0,
077-1,1062.0,
089-7,575.0,
72-3B,890.0,
57-12,765.0,
11-21B,600.0,
PH219,2090.0,
162-2,1050.0,
15-20,1370.0,
027-L,605.0,
0038C,1223.0,
00148,295.0,
0O-21,0.0,
0007F,7328.0,
09E-6,1179.0,
11-30,765.0,
0002P,879.0,
0421A,0.0,
21-4C,619.0,
0A-37,0.0,
011-J,2396.0,
PS-171,0.0,
336-5,590.0,
232-1D,2661.0,
201-D,1449.0,
05D-8,871.0,
I-402,1562.0,
00B-1,29932.0,
0CH-A,1723.0,
0B-19,450.0,
04-24,2492.0,
00694,1146.0,
14R-6,802.0,
194-4,827.0,
190-5,622.0,
062-4,786.0,
000A1,6682.0,
00176,2250.0,
116-5,1353.0,
B-24-3,780.0,
7-162,1266.0,
439-21,488.0,
039 &,0.0,
03A-8,833.0,
A-404,2279.0,
A-210,630.0,
00801,25164.0,
1734-5,773.0,
B-26-1,625.0,
032-D,1187.0,
380-1,925.0,
W-44-6,775.0,
0015G,4831.0,
790-1,774.0,
483-46,475.0,
265-B,1543.0,
0303A,382.0,
17P-6,542.0,
0033B,6092.0,
029-1,9548.0,
14F-6,542.0,
0036D,2883.0,
203-7,0.0,
D-605,3197.0,
0C-16,0.0,
00D-5,4690.0,
051-F,2312.0,
0056A,290.0,
0N-14,0.0,
1710-4,980.0,
483 &,355.0,
027-6,770.0,
0G-90,0.0,
0088B,1124.0,
00901,20061.0,
22-58,1483.0,
00N29,0.0,
247-06,309.0,
211-1,1549.0,
0218B,4629.0,
1157-6,830.0,
1267-2,691.0,
0207A,0.0,
002-2,13988.0,
01603,1839.0,
00143,2420.0,
C-114,0.0,
11-21,340.0,
00002,905.0,
00ONE,2896.0,
1677-2,498.0,
00C-5,5889.0,
09003,1369.0,
01211,3822.0,
B-68-5,625.0,
07G-6,536.0,
0025D,5608.0,
312-1,527.0,
8-202,285.0,
233-11,733.0,
370-B,927.0,
PH 3A,4416.0,
00026,630.0,
449-6,515.0,
380-5,1125.0,
03R-6,802.0,
789-1,1991.0,
07-13,688.0,
048-1,1440.0,
07C-6,742.0,
00721,4997.0,
10M-6,1182.0,
0001B,48641.0,
PENT.,1176.0,
2-504,679.0,
1661-6,1400.0,
144-2,1469.0,
15F-8,806.0,
PENTHS,1850.0,
00TWO,3484.0,
PS-222,0.0,
247-42,559.0,
A-002,1302.0,
0II-7,1380.0,
020-J,590.0,
031-B,2225.0,
24-122,1535.0,
141-23,415.0,
06A &,730.0,
02D-8,871.0,
104-4,1056.0,
0222B,5224.0,
0PS-3,0.0,
1880-7,540.0,
09008,2217.0,
00307,59188.0,
0011D,9322.0,
003-P,2920.0,
27-2B,619.0,
131-14,543.0,
010-G,6666.0,
140-17,646.0,
002-9,1028.0,
74-56,980.0,
1714-2,727.0,
W-46-4,775.0,
437-22,314.0,
36-46,760.0,
236-1,1050.0,
12-32,627.0,
0A-11,2606.0,
0004P,879.0,
022-U,740.0,
1870-5,700.0,
071-6,450.0,
0128B,868.0,
483-84,330.0,
0030A,3802.0,
364-2,414.0,
00080,4243.0,
00015,1692.0,
809-3,934.0,
36-38,890.0,
0402A,1142.0,
97-11,1364.0,
065-2,6021.0,
108-2,1682.0,
"418,420",3016.0,
189-7,395.0,
PH-DUP #2,4650.0,
125-22,453.0,
70-21,995.0,
TH-02,1523.0,
044-3,1888.0,
0006N,2247.0,
020-R,1745.0,
311-14,556.0,
7-401,670.0,
PS-183,0.0,
04-11,1536.0,
0F-40,0.0,
01811,980.0,
0G-16,0.0,
027-K,605.0,
242-14,960.0,
21B-8,833.0,
6-201,614.0,
17B-6,536.0,
PS-173,0.0,
039-E,860.0,
159-3,915.0,
800-32,730.0,
0024C,6747.0,
01711,980.0,
36-33,760.0,
65-09,1102.0,
D-316,1164.0,
0003S,3403.0,
004/6,1197.0,
PS-51,0.0,
479-32,710.0,
0PH-6,1762.0,
043-4,3286.0,
0PH23,1550.0,
I-202,1556.0,
800-17,655.0,
28-16,408.0,
238-9,907.0,
H-101,2906.0,
06-23,619.0,
312-3,1558.0,
D-420,1200.0,
0002D,22799.0,
021-7,402.0,
0128G,815.0,
242-1,1538.0,
111-4,820.0,
1629-3,404.0,
70-54,595.0,
202-B,4700.0,
144-7,646.0,
809-2,914.0,
00923,907.0,
1683-5,650.0,
276-31,690.0,
17F-8,806.0,
04-42,625.0,
0005L,1897.0,
30-26,647.0,
15-25,350.0,
360-B1,395.0,
1758-3,638.0,
805-3,604.0,
360-27,322.0,
800-12,730.0,
15-32,350.0,
00222,9094.0,
B-68-1,625.0,
354-19,660.0,
018-1,12624.0,
E-303,1306.0,
14K-8,1147.0,
0C-82,0.0,
020-E,1967.0,
\11\12,1315.0,
141-1A,1235.0,
565-3,905.0,
9-402,664.0,
06-31,535.0,
206-3A,2828.0,
70-15,595.0,
192-1,1847.0,
338-4,665.0,
000TH,3295.0,
0038F,1930.0,
015-K,1879.0,
08H-6,802.0,
COMM 5,0.0,
35-22,420.0,
194A-2,935.0,
0G-46,0.0,
018-E,4142.0,
030-3,9514.0,
00106,47571.0,
114-16,391.0,
16D-8,871.0,
30-23,476.0,
05C-6,742.0,
00809,6830.0,
181-1,1051.0,
21-47,1339.0,
010-J,2396.0,
195-1,1552.0,
0F-22,0.0,
38-12A,503.0,
145-46,615.0,
70-52,425.0,
309-12,306.0,
022-C,1959.0,
D-218,1201.0,
00916,1111.0,
B-76-5,780.0,
016-L,1877.0,
144-25,684.0,
360-4,1196.0,
97-15,550.0,
PS-24,0.0,
104-D,0.0,
17-84,1535.0,
1868-6,790.0,
0032C,6270.0,
324-16,570.0,
62-14,566.0,
211-43,730.0,
026-N,770.0,
C1-102,1107.0,
7-22C,530.0,
067-2,2051.0,
01-11,1898.0,
PM306,1082.0,
24D-8,871.0,
031-5,1447.0,
A-310,636.0,
7-101,467.0,
031-A,752.0,
078-6,2670.0,
D-110,1678.0,
48-47,416.0,
009-I,861.0,
247-55,567.0,
17-2F,404.0,
364-6,504.0,
"102,103",0.0,
020-C,1958.0,
1758-A,585.0,
0B-21,1274.0,
A-212,1157.0,
7-205,301.0,
014-A,7650.0,
PS-40,0.0,
TOWER,1243.0,
0O-22,0.0,
125-24,375.0,
W-28-5,575.0,
E-204,1267.0,
D-515,1391.0,
08-20,673.0,
15-15,1873.0,
01003,12878.0,
3-405,447.0,
PENTHOUSE 1,1372.0,
12R-6,802.0,
PM202,868.0,
17-4B,435.0,
1742-5,745.0,
140-27,646.0,
00E-1,1977.0,
232-1B,2579.0,
263-1,960.0,
186-1,2935.0,
W-26-5,770.0,
0N-43,0.0,
0063A,686.0,
078-7,3299.0,
11D-6,1205.0,
55-5S,0.0,
89-16,415.0,
052-5,1670.0,
F-202,1472.0,
231-5,852.0,
0023H,2451.0,
0O-10,0.0,
239-14,505.0,
1564-8,556.0,
00229,4121.0,
2-491,896.0,
W-35-2,435.0,
0TH-7,4113.0,
1868-3,610.0,
1677-4,749.0,
118-22,344.0,
09009,1601.0,
PS-15,0.0,
0I-14,1050.0,
17-82,1535.0,
00444,1293.0,
800-30,780.0,
D-220,1200.0,
1258-8,357.0,
0A-74,2301.0,
05H-6,802.0,
041-1,8738.0,
00525,5388.0,
B-48-4,780.0,
000BB,0.0,
057-B,635.0,
B-36-2,780.0,
12-AA,470.0,
19-11,872.0,
0001H,3484.0,
004-R,6084.0,
00V-2,1050.0,
1560-8,556.0,
014-K,1879.0,
A-104,1737.0,
1680-1,1265.0,
241-D,1482.0,
018-A,3119.0,
52-36,665.0,
53-B1,360.0,
B-506,1285.0,
70-42,425.0,
0010G,4838.0,
1269-9,689.0,
0G-55,0.0,
011-B,9700.0,
00592,1214.0,
188-3,1508.0,
0PH A,1032.0,
15H-8,1413.0,
D-205,2119.0,
12L-6,542.0,
095-1,2042.0,
02-25,377.0,
025-J,590.0,
354-12,660.0,
00B-E,725.0,
00109,28091.0,
00020,82898.0,
1 / 3,3548.0,
0F109,601.0,
B-8-3,780.0,
08-23,846.0,
007-L,2803.0,
0R-2E,641.0,
249-7,710.0,
0628A,0.0,
010-N,4249.0,
352-1,776.0,
1621-C,1145.0,
6-220,1962.0,
055-5,3012.0,
04-27,1028.0,
PS-140,0.0,
0F207,1028.0,
48-35,884.0,
1625-7,363.0,
07K-8,1147.0,
00528,2965.0,
110-4,1345.0,
0041C,632.0,
131-22,302.0,
PENT HOUSE 3,1624.0,
0021G,2795.0,
PS-67,0.0,
0II-2,1466.0,
00178,2046.0,
06E-8,1119.0,
B-74-3,780.0,
141-35,710.0,
00902,16203.0,
352-9,580.0,
07H-6,802.0,
01018,1635.0,
PS-141,0.0,
C1-202,1107.0,
00105,52080.0,
0081D,900.0,
10D-8,871.0,
0001I,1281.0,
210-2C,2699.0,
006-S,508.0,
68-B1,705.0,
04L-6,542.0,
955-1,1091.0,
0A-80,1804.0,
00B-A,2787.0,
00019,2108.0,
1872-6,570.0,
149-4,828.0,
118-30,389.0,
PH 2B,2971.0,
0U-3B,0.0,
313-3,700.0,
1718-6,772.0,
W-29-3,775.0,
NR-3D,0.0,
018-D,3024.0,
232-2C,2705.0,
10-151,1260.0,
0N-81,0.0,
003-H,4295.0,
449-1,480.0,
1 & 2,3072.0,
011-O,1656.0,
17-5BC,950.0,
011-4,10354.0,
00121,9914.0,
96-12,661.0,
0119B,1172.0,
70-44,595.0,
00643,0.0,
03-18,1150.0,
24C-8,1147.0,
63-B1,360.0,
171-10,1243.0,
43-11,509.0,
17-3C,621.0,
W-20-3,775.0,
334-1,530.0,
000D2,1377.0,
56-12,1055.0,
01410,4829.0,
PS-147,0.0,
111-7,820.0,
114-11,342.0,
354-3,590.0,
1677-5,360.0,
00596,3419.0,
B-46-5,780.0,
PS-207,0.0,
0072A,1620.0,
63-17,336.0,
131-35,362.0,
247-24,391.0,
132-4,1054.0,
BSMNT,0.0,
0R-2G,1038.0,
B-32-2,780.0,
0401E,1843.0,
W-15-1,775.0,
016-B,7552.0,
00013,783.0,
PS-50,0.0,
000AA,0.0,
244-5A,765.0,
15C-8,1147.0,
15D-8,871.0,
114-17,557.0,
229-8,727.0,
00901,1057.0,
00805,13945.0,
27R-1,1270.0,
066-3,1705.0,
1681-1,429.0,
00V-6,1050.0,
033 &,0.0,
1568-5,700.0,
09012,1648.0,
140-35,488.0,
360-5 PS 5,565.0,
31-19,592.0,
25-12,681.0,
0034D,4379.0,
1251-7,968.0,
1258-1,1048.0,
01O7F,898.0,
011-1,13413.0,
00007,5672.0,
099-4,2774.0,
301-9,516.0,
19-74,1535.0,
120-13,720.0,
0004S,2071.0,
49-B1,360.0,
30-31,439.0,
251-1,950.0,
131-G2,812.0,
26-16,240.0,
037-2,4896.0,
1872-A,1165.0,
110-S,0.0,
0001F,20559.0,
D-208,1267.0,
0A306,1449.0,
013-A,1074.0,
96-4A,613.0,
953-2,1193.0,
790-14,660.0,
0540A,0.0,
W-40-6,770.0,
796-2,846.0,
74-12,425.0,
00905,1013.0,
144-12,646.0,
00639,0.0,
00601,1057.0,
5-201,665.0,
010-D,5708.0,
008-1,3746.0,
00E-2,1627.0,
66-62,833.0,
C-303,3443.0,
W-23-1,575.0,
01508,706.0,
00580,1279.0,
233-5,733.0,
137-23,830.0,
276-42,690.0,
0017D,4940.0,
01806,701.0,
RETAIL,0.0,
B-64-5,780.0,
00313,17505.0,
007-P,2860.0,
00151,1862.0,
4 PS 4,1068.0,
1568-7,306.0,
449-3,430.0,
19812A,377.0,
103-1,1715.0,
041-G,968.0,
39-12A,584.0,
0104E,1758.0,
12-16,831.0,
155-12,790.0,
NR-1A,0.0,
014-2,11848.0,
F-204,1303.0,
19D-8,871.0,
075-B,497.0,
15/14,0.0,
233-12,703.0,
088-7,877.0,
007/6,0.0,
0088A,1063.0,
006-2,12406.0,
0092E,898.0,
52-26,665.0,
186-4,1053.0,
249-9,720.0,
039-2,6619.0,
378-8,1125.0,
00N-5,0.0,
000GR,1065.0,
15G-6,536.0,
121-11,620.0,
453-1,1195.0,
009-2,8560.0,
313-16,556.0,
027-3,4769.0,
C2-101,1117.0,
00G-4,897.0,
100-12,1142.0,
110-1,1815.0,
1661-1,1300.0,
B-44-5,625.0,
118-20,503.0,
III-4,1380.0,
004&5,2974.0,
0PH3A,4703.0,
0A-16,550.0,
B-68-4,625.0,
PS-201,0.0,
800-21,780.0,
171-14,1384.0,
0102W,3105.0,
00074,7392.0,
137-32,600.0,
1564-7,306.0,
276-24,690.0,
290-11,515.0,
0F110,802.0,
31-10,939.0,
232-3C,3648.0,
27T-1,1281.0,
255-1,1013.0,
18-3A,495.0,
PS-93,0.0,
0002W,2432.0,
7-203,539.0,
016-2,8866.0,
1629-7,353.0,
008-5,2732.0,
008-U,740.0,
142-2,1346.0,
01011,4274.0,
132-2,2260.0,
00088,2743.0,
PS-134,0.0,
17-3F,404.0,
3-202,538.0,
105-N,0.0,
00608,25943.0,
049-7,920.0,
051-E,2310.0,
009-L,2202.0,
0IV-1,1380.0,
022-3,6994.0,
2-302,337.0,
004-J,2394.0,
0R-4G,1028.0,
1665-1,488.0,
0045B,1362.0,
00D-6,4527.0,
A-203,1900.0,
155-4,775.0,
060-8,1497.0,
16-12,598.0,
C1-304,993.0,
00205,74403.0,
1661-B,1195.0,
0E-10,552.0,
01805,1013.0,
1637-7,353.0,
028-1,5308.0,
0045A,812.0,
069-3,3148.0,
00796,1209.0,
12-100,1266.0,
0A-70,2301.0,
0014B,8244.0,
55-06,860.0,
00N33,0.0,
69-11,1052.0,
00703,719.0,
140-24,684.0,
011-7,2631.0,
140-16,488.0,
00213,18237.0,
185-14,483.0,
H-602,1520.0,
0040C,1231.0,
10C-6,742.0,
00G01,1231.0,
000F3,0.0,
0G-74,0.0,
06-33,1647.0,
00047,655.0,
00A-3,9349.0,
0F512,1441.0,
1734-1,731.0,
071-1,1844.0,
16-14,532.0,
09001,1557.0,
249-54,560.0,
141-28,555.0,
231-1,1895.0,
324-2,460.0,
PS-44,0.0,
245-D,1659.0,
236-5,950.0,
0030D,4379.0,
00715,13092.0,
280-41,690.0,
111-10,820.0,
210-3A,2912.0,
00N23,0.0,
27-4A,542.0,
00049,562.0,
W-34-3,775.0,
0UN 1,425.0,
116-12,1540.0,
0018C,5457.0,
244-2A,793.0,
11E-8,1119.0,
2-301,508.0,
024-2,5706.0,
056-7,1240.0,
006-C,12439.0,
805-2,629.0,
114-99,477.0,
022-H,1480.0,
22-12,600.0,
4-405,524.0,
W-29-2,775.0,
03-19,1462.0,
1-304 PS26,694.0,
B-502,2544.0,
034-C,1230.0,
52-25,884.0,
005-L,2199.0,
52-33,384.0,
00BFL,350.0,
0028A,3801.0,
077-2,1834.0,
028-C,1234.0,
014-S,735.0,
00719,6325.0,
08F-6,542.0,
00803,21493.0,
800-37,655.0,
01618,1833.0,
017-H,3288.0,
1762-1,642.0,
12-24,688.0,
178-16,610.0,
W-44-1,775.0,
00501,76296.0,
00425,7562.0,
0002S,3243.0,
0II-5,1050.0,
025-2,6744.0,
00L-5,0.0,
F-203,1292.0,
1564-5,700.0,
0007C,10785.0,
233-6,710.0,
794-2,1246.0,
244-1A,609.0,
T-101,872.0,
237-4,740.0,
36-36,760.0,
093-5,1671.0,
800-35,604.0,
038-2,4815.0,
759-1,1153.0,
15-19,1262.0,
0B-3C,825.0,
00576,1278.0,
239-12,690.0,
00325,7350.0,
32-14,548.0,
449-8,515.0,
19-10,784.0,
15-24,980.0,
00B-6,10592.0,
00807,829.0,
00I-1,2623.0,
25-3F,404.0,
8-137,1294.0,
D-506,1108.0,
200-5,0.0,
0F406,1286.0,
03 ES,2759.0,
20B-8,833.0,
360-24,350.0,
00066,16662.0,
00045,43049.0,
04-10,1282.0,
080-2,2138.0,
2A-27,1202.0,
0B-39,1849.0,
014-E,7484.0,
19H-8,1413.0,
48-22,801.0,
145-45,815.0,
00407,829.0,
09-16,1236.0,
211-31,730.0,
11-2L,715.0,
3.5-08,1266.0,
0460A,538.0,
384-6,1125.0,
000G2,2245.0,
W-26-1,770.0,
100-5,2765.0,
036-6,2443.0,
225-1A,1005.0,
1177-6,804.0,
0027A,4826.0,
1254-9,357.0,
C2-408,1175.0,
114-N,0.0,
12H-8,1413.0,
00510,28330.0,
22-59,1535.0,
29-11,680.0,
0F413,916.0,
D-415,1402.0,
125-17,350.0,
016-A,9115.0,
0G-38,0.0,
232-2B,2745.0,
479-21,780.0,
10-147,1266.0,
SPORTS CLUB,,
141-47,690.0,
59-02,670.0,
008-M,3569.0,
1657-8,1400.0,
211-2,1195.0,
HOUSE,2236.0,
311-8,556.0,
UN 19,768.0,
021-P,1200.0,
053-1,3388.0,
01605,1013.0,
1177-9,804.0,
1173-4,1480.0,
131-11,328.0,
0G-85,0.0,
000H3,3110.0,
0004E,1916.0,
1173-5,1480.0,
8-402,676.0,
11-19,1076.0,
00060,482.0,
067-4,1989.0,
341/342,0.0,
T-201,872.0,
301-1,807.0,
0031A,7570.0,
0032F,1631.0,
106-8,901.0,
18-77,1535.0,
4-402,517.0,
0194C,709.0,
PS-188,0.0,
0024F,2513.0,
018-M,590.0,
9-301,530.0,
790-27,655.0,
1945-5,620.0,
0012D,3569.0,
198-8,452.0,
141-34,415.0,
114-S,0.0,
I-301,2389.0,
00C-R,0.0,
360-23,526.0,
00698,1146.0,
481-44,820.0,
0A3-4,1110.0,
1714-5,763.0,
0043C,1004.0,
00B-7,6276.0,
093-3,1679.0,
131-32,543.0,
2001-9,390.0,
12G & 12H,1195.0,
00073,448.0,
020-S,735.0,
B-107,1632.0,
74-24,595.0,
D-102,1229.0,
PH210,1788.0,
0B-91,645.0,
352-21,858.0,
010-O,1656.0,
66-24,573.0,
023-T,675.0,
00239,1346.0,
58-21,675.0,
0004L,1851.0,
058-7,600.0,
A-505,1088.0,
0C-15,0.0,
31-15,353.0,
0005T,589.0,
1165-4,1282.0,
0106E,1815.0,
19A-8,833.0,
0G-69,0.0,
375-2,694.0,
047-5,3243.0,
276-21,690.0,
141-31,765.0,
1560-3,700.0,
035-1,6250.0,
60-12,620.0,
035-3,3812.0,
251-2,845.0,
210-5,778.0,
0042B,745.0,
033-F,1648.0,
15A-8,833.0,
070-5,560.0,
010-U,740.0,
133-4,825.0,
001-D,6111.0,
0F213,916.0,
137-4,2614.0,
096-3,3910.0,
0151A,828.0,
0A-18,0.0,
125-40,447.0,
309-11,556.0,
B-68-2,625.0,
